,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
0,109,興隆路二段217巷8之7號五樓,文山區,24.0,房地(土地+建物),1091029,0850715,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,178092,False,5,121.5494869,25.0024147
1,109,和平東路四段65巷77弄1號,文山區,33.0,房地(土地+建物),1091105,0760413,透天厝,鋼筋混凝土造,5,4,3,,無,139426,False,1,121.5717605,25.00268475
2,109,和平西路三段197號,萬華區,47.0,房地(土地+建物),1091017,0620621,公寓(5樓含以下無電梯),鋼筋混凝土造,0,1,1,,無,271462,False,1,121.4972578,25.035462899999995
3,109,延平北路二段242號九樓,大同區,38.0,房地(土地+建物),1091111,0710930,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,0,3,,有,134794,False,9,121.511286,25.059994
4,109,西藏路544號五樓,萬華區,41.0,房地(土地+建物),1091104,0680410,公寓(5樓含以下無電梯),鋼筋混凝土造,4,1,2,,無,106476,False,5,121.49223029999999,25.028720300000003
5,109,開封街二段66之4號十二樓之3,萬華區,25.0,房地(土地+建物),1091107,0841201,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,1,1,,有,160511,False,12,121.5061591,25.046687799999997
6,109,武成街28巷7號,萬華區,36.0,房地(土地+建物),1091021,0730419,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,103522,False,1,121.49549689999998,25.018859799999998
7,109,建國北路三段81巷18號三樓,中山區,43.0,房地(土地+建物),1091031,0661110,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,150708,False,3,121.53794160000001,25.065493099999998
8,109,內湖路二段65號四樓,內湖區,42.0,房地(土地+建物),1091029,0670914,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,158925,False,4,121.5821357,25.079724100000004
9,109,龍江路243巷18號,中山區,51.0,房地(土地+建物),1091124,0581013,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,299605,False,1,121.541602,25.0583153
10,109,文德路210巷30弄92號三樓,內湖區,37.0,房地(土地+建物),1091121,0720413,公寓(5樓含以下無電梯),鋼筋混凝土造,4,0,4,,無,149893,False,3,121.58508689999998,25.0772462
11,109,金龍路85號七樓,內湖區,19.0,房地(土地+建物),1091030,0900425,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,216112,False,7,121.59194889999999,25.085303699999994
12,109,八德路四段520號十三樓,松山區,18.0,房地(土地+建物)+車位,1091021,0910612,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,升降平面,有,200222,False,13,121.5711319,25.049725000000002
13,109,永吉路30巷145號三樓,信義區,13.0,房地(土地+建物)+車位,1091101,0961231,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,塔式車位,有,231556,False,3,121.5689982,25.042614
14,109,三民路136巷64號三樓,松山區,48.0,房地(土地+建物),1091119,0610401,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,178696,False,3,121.56426499999999,25.0605482
15,109,八德路四段204巷6弄22號四樓,松山區,45.0,房地(土地+建物),1091107,0640311,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,163155,False,4,121.5632997,25.048037599999997
16,109,吉利街257巷3弄12號二樓,北投區,43.0,房地(土地+建物),1091017,0661111,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,116647,False,2,121.51000210000001,25.119076500000002
17,109,磺港路142號五樓,北投區,1.0,房地(土地+建物)+車位,1091114,1080725,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,3,坡道平面,有,174064,False,5,121.50284080000002,25.1291617
18,109,磺港路142號八樓,北投區,1.0,房地(土地+建物)+車位,1091114,1080725,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,3,坡道平面,有,180921,False,8,121.50284080000002,25.1291617
19,109,新興路158巷40號二樓,北投區,39.0,房地(土地+建物),1091110,0700304,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,91981,False,2,121.4864955,25.139409399999998
20,109,泉源路46號十三樓之1,北投區,4.0,房地(土地+建物)+車位,1090615,1050315,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,0,0,坡道平面,有,144543,False,13,121.50907830000001,25.140930799999996
21,109,三合街一段65號四樓,北投區,6.0,房地(土地+建物)+車位,1090906,1031119,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,140060,False,4,121.5046944,25.126852
22,109,德行東路74巷3弄3號,士林區,47.0,房地(土地+建物),1091101,0620922,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,230512,False,1,121.5275345,25.107066200000002
23,109,瑞安街81巷18號十二樓,大安區,11.0,房地(土地+建物)+車位,1091003,0980213,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,4,坡道平面,有,284627,False,12,121.54136210000001,25.027705199999996
24,109,木柵路一段68之3號二樓,文山區,15.0,房地(土地+建物),1091115,0940511,華廈(10層含以下有電梯),鋼筋混凝土造,0,1,1,,有,173786,False,2,121.54827440000001,24.9868572
25,109,門街81巷31號四樓,中正區,42.0,房地(土地+建物),1091118,0670502,公寓(5樓含以下無電梯),鋼筋混凝土造,1,2,1,,無,183449,False,4,120.87550155,24.0385265
26,109,西昌街53號四樓之1,萬華區,0.0,房地(土地+建物)+車位,1091116,1090325,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,其他,有,160360,False,4,121.50074679999999,25.042179299999997
27,109,西昌街98號四樓,萬華區,30.0,房地(土地+建物)+車位,1091102,0790913,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,3,坡道機械,有,120351,False,4,121.5005541,25.040570600000006
28,109,建國北路三段113巷7弄9號四樓,中山區,40.0,房地(土地+建物),1091030,0690816,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,140768,False,4,121.53594175,25.066869999999998
29,109,瑞光路253巷20號四樓,內湖區,36.0,房地(土地+建物),1091011,0730210,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,164049,False,4,121.5782616,25.0750241
30,109,成功路二段193巷8號二樓之7,內湖區,11.0,房地(土地+建物)+車位,1091110,0981225,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,升降機械,有,171024,False,2,121.591158,25.0663
31,109,內湖路三段359之1號五樓,內湖區,4.0,房地(土地+建物)+車位,1091119,1050107,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,163153,False,5,121.583882,25.089348599999997
32,109,南京東路五段160號十樓之1,松山區,36.0,房地(土地+建物),1091111,0731106,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,,有,216912,False,10,121.56354759999999,25.0511703
33,109,虎林街120巷120號五樓之3,信義區,14.0,房地(土地+建物),1091112,0950404,華廈(10層含以下有電梯),鋼筋混凝土造,3,1,1,,有,226643,False,5,121.5750245,25.0420849
34,109,民權東路三段106巷13號三樓,松山區,35.0,房地(土地+建物),1091012,0740817,華廈(10層含以下有電梯),鋼筋混凝土造,3,1,2,,有,269070,False,3,121.5449987,25.06097735
35,109,成福路206巷14號四樓,南港區,30.0,房地(土地+建物),1091114,0790214,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,184478,False,4,121.58851109999998,25.0400419
36,109,向陽路196巷28號九樓,南港區,13.0,房地(土地+建物)+車位,1091117,0960711,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,1,坡道平面,有,157187,False,9,121.59393490000001,25.056770699999998
37,109,安和路一段110號十樓,大安區,43.0,房地(土地+建物),1090930,0660817,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,,有,254692,False,10,120.88349500000001,24.0310807
38,109,雲和街86號五樓,大安區,39.0,房地(土地+建物),1091006,0700313,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,186572,False,5,121.53096309999998,25.023225999999998
